"Input","Output","InputBytes","OutputBytes","SavedPercent","Status"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_correlation.png.jxl","106116","83580","21.24","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_correlation.webp.jxl","10620","19074","-79.6","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_heatmap.png.jxl","107269","73741","31.26","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_heatmap.webp.jxl","15730","22288","-41.69","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\score_distribution.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\score_distribution.png.jxl","92679","93286","-0.65","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\score_distribution.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\score_distribution.webp.jxl","13938","21103","-51.41","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\sent_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\sent_id_correlation.png.jxl","286174","326033","-13.93","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\sent_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\sent_id_correlation.webp.jxl","28388","41057","-44.63","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\sent_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\sent_id_heatmap.png.jxl","415555","297343","28.45","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\sent_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\sent_id_heatmap.webp.jxl","27628","36744","-33","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\spkr_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\spkr_id_correlation.png.jxl","242062","340581","-40.7","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\spkr_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\spkr_id_correlation.webp.jxl","33944","47654","-40.39","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\spkr_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\spkr_id_heatmap.png.jxl","484671","338706","30.12","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\spkr_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\spkr_id_heatmap.webp.jxl","37134","47360","-27.54","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\det_curve.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\det_curve.png.jxl","204767","139105","32.07","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\det_curve.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\det_curve.webp.jxl","15068","23433","-55.51","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\env_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\env_id_correlation.png.jxl","97613","89965","7.84","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\env_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\env_id_correlation.webp.jxl","9798","21429","-118.71","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\env_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\env_id_heatmap.png.jxl","97670","67018","31.38","ok"
